relative_path,extension,size_bytes,reachable,depth,is_entry,is_grain,included_by_count,includes_count
"emulatrLib/EmulatorPaths.h",.h,4245,True,1,False,False,5,0
"emulatrLib/ExecutionCoordinator.cpp",.cpp,7452,True,4,False,False,0,3
"emulatrLib/ExecutionCoordinator.h",.h,13975,True,3,False,False,4,11
"emulatrLib/IPIManager.h",.h,5799,True,3,False,False,4,3
"emulatrLib/SubsystemCoordinator.h",.h,11678,True,2,False,False,3,12
"emulatrLib/emulatrLib_global.h",.h,254,True,5,False,False,1,0
"emulatrLib/global_EmulatR_init.cpp",.cpp,250,True,2,False,False,0,2
"emulatrLib/global_EmulatR_init.h",.h,211,True,1,False,False,2,0
"emulatrLib/global_ExecutionCoordinator.cpp",.cpp,1763,True,8,False,False,0,4
"emulatrLib/global_ExecutionCoordinator.h",.h,980,True,7,False,False,3,0
"emulatrLib/global_IPIManager.cpp",.cpp,445,True,5,False,False,0,3
"emulatrLib/global_IPIManager.h",.h,338,True,4,False,False,4,0
"emulatrLib/global_SubSystemCoordinator.h",.h,282,False,-1,False,False,1,1
"emulatrLib/global_SubsystemCoordinator.cpp",.cpp,235,False,-1,False,False,0,2
"exceptionLib/DStreamErrorContext_EV6.h",.h,1481,False,-1,False,False,0,0
"exceptionLib/ExceptionClass_EV6.h",.h,3127,True,4,False,False,8,1
"exceptionLib/ExceptionFactory.cpp",.cpp,34600,True,6,False,False,0,16
"exceptionLib/ExceptionFactory.h",.h,5989,True,5,False,False,9,5
"exceptionLib/ExceptionHandler.h",.h,2225,False,-1,False,False,1,0
"exceptionLib/ExceptionStateUpdate_inl.h",.h,5490,False,-1,False,False,0,1
"exceptionLib/ExceptionTypes.h",.h,250,False,-1,False,False,0,0
"exceptionLib/PendingEventKind.h",.h,425,True,4,False,False,5,0
"exceptionLib/exceptionLib_global.h",.h,266,False,-1,False,False,1,0
"exceptionLib/exceptionlib.cpp",.cpp,70,False,-1,False,False,0,1
"exceptionLib/exceptionlib.h",.h,172,False,-1,False,False,1,1
"faultLib/AlphaTrapFrame.h",.h,7421,False,-1,False,False,0,5
"faultLib/FaultDispatcher.h",.h,14424,True,4,False,False,15,8
"faultLib/GlobalFaultDispatcherBank.cpp",.cpp,5372,True,6,False,False,0,4
"faultLib/GlobalFaultDispatcherBank.h",.h,3852,True,5,False,False,11,1
"faultLib/IFaultSink.h",.h,705,False,-1,False,False,3,1
"faultLib/MemoryFaultInfo.h",.h,8122,False,-1,False,False,5,4
"faultLib/PendingEvent_Refined.h",.h,14871,True,4,False,False,16,9
"faultLib/Tlb_Fault_core.h",.h,8443,False,-1,False,False,1,0
"faultLib/buildArithmeticTrap_inl.h",.h,901,False,-1,False,False,0,1
"faultLib/decodeMMStateFaultType.h",.h,2385,False,-1,False,False,0,1
"faultLib/faultLib_global.h",.h,242,False,-1,False,False,1,0
"faultLib/fault_core.h",.h,8768,True,5,False,False,19,5
"faultLib/faultlib.cpp",.cpp,50,False,-1,False,False,0,1
"faultLib/faultlib.h",.h,163,False,-1,False,False,1,1
"faultLib/global_faultDispatcher.cpp",.cpp,1020,True,6,False,False,0,5
"faultLib/global_faultDispatcher.h",.h,1037,True,5,False,False,5,0
"faultLib/handleAccessViolation_inl.h",.h,913,False,-1,False,False,0,2
"faultLib/handleFaultOnExecute_inl.h",.h,464,False,-1,False,False,0,1
"faultLib/handleFaultOnRead_inl.h",.h,491,False,-1,False,False,0,2
"faultLib/handleFaultOnWrite_inl.h",.h,731,False,-1,False,False,0,2
"faultLib/handleMMIOFault_inl.h",.h,1233,False,-1,False,False,0,3
"faultLib/handlePageNotPresent_inl.h",.h,500,False,-1,False,False,0,2
"faultLib/handleVirtualAddressFault.h",.h,165,False,-1,False,False,0,1
"faultLib/hasPendingTranslationFault_inl.h",.h,854,False,-1,False,False,0,3
"faultLib/isVAAddressTranslationFault.h",.h,2437,False,-1,False,False,0,6
"faultLib/makeAlignmentFaultEvent_inl.h",.h,2284,False,-1,False,False,0,1
"faultLib/makeArithmeticFaultInfo_inl.h",.h,1100,False,-1,False,False,0,3
"faultLib/onMemoryManagementFault_inl.h",.h,312,False,-1,False,False,0,1
"faultLib/raiseFaultHelper_inl.h",.h,886,False,-1,False,False,0,2
"faultLib/raiseMachineCheck_inl.h",.h,182,False,-1,False,False,1,2
"faultLib/raiseOpcodeFault_inl.h",.h,261,False,-1,False,False,0,2
"faultLib/raisePageFault_inl.h",.h,158,False,-1,False,False,0,1
"faultLib/raiseTranslationFault_inl.h",.h,1499,True,6,False,False,1,4
